Unnamed: 0,Condition,Commonness Score,Link,Symptoms
78,Ovarian Cancer,3,https://www.mayoclinic.org/diseases-conditions/ovarian-cancer/symptoms-causes/syc-20375941,"Abdominal bloating or swelling, Quickly feeling full when eating, Weight loss, Discomfort in the pelvic area, Fatigue, Back pain, Changes in bowel habits, such as constipation, A frequent need to urinate"
79,Ovarian Cyst,2,https://www.mayoclinic.org/diseases-conditions/ovarian-cysts/symptoms-causes/syc-20353405,"Pelvic pain that may come and go You may feel a dull ache or a sharp pain in the area below your bellybutton toward one side, Fullness, pressure or heaviness in your belly (abdomen), Bloating"
80,Paget's Disease,3,https://www.mayoclinic.org/diseases-conditions/pagets-disease-of-bone/symptoms-causes/syc-20350811,"Pelvis Paget's disease of bone in the pelvis can cause hip pain, Skull An overgrowth of bone in the skull can cause hearing loss or headaches, Spine If your spine is affected, nerve roots can become compressed This can cause pain, tingling and numbness in an arm or leg, Leg As the bones weaken, they may bend — causing you to become bowlegged Enlarged and misshapen bones in your legs can put extra stress on nearby joints, which may cause osteoarthritis in your knee or hip"
81,Peptic Ulcer Disease,3,https://www.mayoclinic.org/diseases-conditions/peptic-ulcer/symptoms-causes/syc-20354223,"Burning stomach pain, Feeling of fullness, bloating or belching, Intolerance to fatty foods, Heartburn, Nausea"
82,Periodontal Disease,3,https://www.mayoclinic.org/diseases-conditions/periodontitis/symptoms-causes/syc-20354473,"Swollen or puffy gums, Bright red, dark red or dark purple gums, Gums that feel tender when touched, Gums that bleed easily, A toothbrush that looks pink after brushing your teeth, Spitting out blood when brushing or flossing your teeth, Bad breath that won't go away, Pus between your teeth and gums, Loose teeth or loss of teeth, Painful chewing, New spaces that develop between your teeth that look like black triangles, Gums that pull away from your teeth, making your teeth look longer than usual, called receding gums, A change in the way your teeth fit together when you bite"
83,Pertussis (Whooping Cough),2,https://www.mayoclinic.org/diseases-conditions/whooping-cough/symptoms-causes/syc-20378973,"Runny nose, Nasal congestion, Red, watery eyes, Fever, Cough"
84,Plantar Fasciitis,3,https://www.mayoclinic.org/diseases-conditions/plantar-fasciitis/symptoms-causes/syc-20354846,"Age Plantar fasciitis is most common in people between the ages of 40 and 60, Certain types of exercise Activities that place a lot of stress on your heel and attached tissue — such as long-distance running, ballet dancing and aerobic dance — can contribute to the onset of plantar fasciitis, Foot mechanics Flat feet, a high arch or even an atypical pattern of walking can affect the way weight is distributed when you're standing and can put added stress on the plantar fascia, Obesity Excess pounds put extra stress on your plantar fascia, Occupations that keep you on your feet Factory workers, teachers and others who spend most of their work hours walking or standing on hard surfaces can be at increased risk of plantar fasciitis"
85,Pleurisy,3,https://www.mayoclinic.org/diseases-conditions/pleurisy/symptoms-causes/syc-20351863,"Chest pain that worsens when you breathe, cough or sneeze, Shortness of breath — often from trying to limit breathing in and out, Cough — only in some cases, Fever — only in some cases"
86,Post-Traumatic Stress Disorder (PTSD),3,https://www.mayoclinic.org/diseases-conditions/post-traumatic-stress-disorder/symptoms-causes/syc-20355967,"Recurrent, unwanted distressing memories of the traumatic event, Reliving the traumatic event as if it were happening again (flashbacks), Upsetting dreams or nightmares about the traumatic event, Severe emotional distress or physical reactions to something that reminds you of the traumatic event"
87,Raynaud's Phenomenon,3,https://www.mayoclinic.org/diseases-conditions/raynauds-disease/symptoms-causes/syc-20363571,"Cold fingers or toes, Areas of skin that turn white then blue Depending on your skin color, these color changes may be harder or easier to see, Numb, prickly feeling or stinging pain upon warming or stress relief"
88,Restless Leg Syndrome,3,https://www.mayoclinic.org/diseases-conditions/restless-legs-syndrome/symptoms-causes/syc-20377168,"Sensations that begin while resting The sensation typically begins after you've been lying down or sitting for an extended time, such as in a car, airplane or movie theater, Relief with movement The sensation of RLS lessens with movement, such as stretching, jiggling the legs, pacing or walking, Worsening of symptoms in the evening Symptoms occur mainly at night, Nighttime leg twitching RLS may be associated with another, more common condition called periodic limb movement of sleep, which causes the legs to twitch and kick, possibly throughout the night, while you sleep"
89,Rheumatic Fever,2,https://www.mayoclinic.org/diseases-conditions/rheumatic-fever/symptoms-causes/syc-20354588,"Fever, Painful and tender joints — most often in the knees, ankles, elbows and wrists, Pain in one joint that migrates to another joint, Red, hot or swollen joints, Chest pain, Fatigue, Flat or slightly raised, painless rash with a ragged edge, Heart murmur, Jerky, uncontrollable body movements (Sydenham chorea) — most often in the hands, feet and face, Outbursts of unusual behavior, such as crying or inappropriate laughing, that accompanies Sydenham chorea, Small, painless bumps beneath the skin"
90,Rheumatoid Arthritis,4,https://www.mayoclinic.org/diseases-conditions/rheumatoid-arthritis/symptoms-causes/syc-20353648,"Tender, warm, swollen joints, Joint stiffness that is usually worse in the mornings and after inactivity, Fatigue, fever and loss of appetite"
91,Sarcoidosis,2,https://www.mayoclinic.org/diseases-conditions/sarcoidosis/symptoms-causes/syc-20350358,"Fatigue, Swollen lymph nodes, Weight loss, Pain and swelling in joints, such as the ankles"
92,Bronchitis,5,https://www.mayoclinic.org/diseases-conditions/bronchitis/symptoms-causes/syc-20355566,"Cough, Production of mucus (sputum), which can be clear, white, yellowish-gray or green in color — rarely, it may be streaked with blood, Fatigue, Shortness of breath, Slight fever and chills, Chest discomfort"
